PfamUID,Age_oldest
PF01652,2230.0000
PF01653,3145.0000
PF01655,3145.0000
PF01656,4090.0000
PF01657,1577.8820
PF01658,3145.0000
PF01661,3145.0000
PF01663,4090.0000
PF01666,120.4265
PF01667,3145.0000
PF01669,544.1525
PF01670,3145.0000
PF01674,3145.0000
PF01676,3145.0000
PF01678,3145.0000
PF01679,3145.0000
PF01680,3145.0000
PF01681,210.6966
PF01682,810.2778
PF01683,2100.6973
PF01684,120.4265
PF01687,3145.0000
PF01694,3145.0000
PF01695,3145.0000
PF01697,3145.0000
PF01698,846.1460
PF01699,4090.0000
PF01701,3145.0000
PF01702,3145.0000
PF01704,3145.0000
PF01705,491.8701
PF01709,3145.0000
PF01713,3145.0000
PF01715,3145.0000
PF01716,3145.0000
PF01717,3145.0000
PF01722,3145.0000
PF01723,810.2778
PF01725,3145.0000
PF01728,3145.0000
PF01729,3145.0000
PF01730,3145.0000
PF01731,3145.0000
PF01733,2230.0000
PF01734,3145.0000
PF01735,3145.0000
PF01737,3145.0000
PF01739,3145.0000
PF01740,3145.0000
PF01741,3145.0000
PF01743,3145.0000
PF01745,3145.0000
PF01746,3145.0000
PF01747,3145.0000
PF01749,1934.5575
PF01753,3145.0000
PF01754,1934.5575
PF01755,3145.0000
PF01756,3145.0000
PF01757,3145.0000
PF01758,3145.0000
PF01759,949.9125
PF01761,3145.0000
PF01762,3145.0000
PF01764,3145.0000
PF01769,3145.0000
PF01770,3145.0000
PF01774,3145.0000
PF01775,3145.0000
PF01776,3145.0000
PF01777,1934.5575
PF01778,2100.6973
PF01779,2100.6973
PF01780,3145.0000
PF01781,3145.0000
PF01782,3145.0000
PF01783,3145.0000
PF01784,4090.0000
PF01788,3145.0000
PF01789,3145.0000
PF01790,3145.0000
PF01791,3145.0000
PF01793,3145.0000
PF01794,3145.0000
PF01795,3145.0000
PF01798,3145.0000
PF01803,1714.2089
PF01804,3145.0000
PF01805,2230.0000
PF01808,3145.0000
PF01809,3145.0000
PF01812,3145.0000
PF01813,3145.0000
PF01814,3145.0000
PF01820,3145.0000
PF01821,810.2778
PF01822,3145.0000
PF01823,3145.0000
PF01825,1934.5575
PF01826,1934.5575
PF01827,120.4265
PF01828,3145.0000
PF01833,3145.0000
PF01834,1660.0000
PF01835,3145.0000
PF01839,3145.0000
PF01840,331.8312
PF01841,3145.0000
PF01842,4090.0000
PF01843,1660.0000
PF01846,1934.5575
PF01847,3145.0000
PF01849,3145.0000
PF01851,2100.6973
PF01852,3145.0000
PF01853,2100.6973
PF01857,1934.5575
PF01858,1934.5575
PF01862,215.6257
PF01866,3145.0000
PF01869,3145.0000
PF01871,3145.0000
PF01872,3145.0000
PF01873,3145.0000
PF01874,357.6744
PF01875,3145.0000
PF01876,3145.0000
PF01878,3145.0000
PF01880,3145.0000
PF01883,3145.0000
PF01885,4090.0000
PF01894,3145.0000
PF01895,3145.0000
PF01900,3145.0000
PF01902,4090.0000
PF01904,4090.0000
PF01906,3145.0000
PF01907,3145.0000
PF01912,3145.0000
PF01914,3145.0000
PF01915,3145.0000
PF01916,3145.0000
PF01918,3145.0000
PF01920,3145.0000
PF01921,3145.0000
PF01922,3145.0000
PF01923,3145.0000
PF01925,4090.0000
PF01926,4090.0000
PF01927,3145.0000
PF01928,3145.0000
PF01929,3145.0000
PF01930,3145.0000
PF01931,3145.0000
PF01936,3145.0000
PF01937,3145.0000
PF01938,3145.0000
PF01940,4090.0000
PF01946,3145.0000
PF01956,3145.0000
PF01958,3145.0000
PF01959,3145.0000
PF01960,3145.0000
PF01963,4090.0000
PF01964,3145.0000
PF01965,3145.0000
PF01966,4090.0000
PF01967,4090.0000
PF01968,3145.0000
PF01969,3145.0000
PF01974,3145.0000
PF01975,3145.0000
PF01977,3145.0000
PF01979,4090.0000
PF01981,3145.0000
PF01984,3145.0000
PF01985,3145.0000
PF01987,3145.0000
PF01988,3145.0000
PF01990,3145.0000
PF01991,3145.0000
PF01992,3145.0000
PF01997,3145.0000
PF02002,3145.0000
PF02008,1934.5575
PF02009,28.0725
PF02010,3145.0000
PF02014,3145.0000
PF02016,4090.0000
PF02017,886.0000
PF02019,886.0000
PF02020,2100.6973
PF02023,1028.4421
PF02024,454.3147
PF02025,331.8312
PF02026,3145.0000
PF02028,3145.0000
PF02029,680.2240
PF02033,3145.0000
PF02036,4090.0000
PF02037,3145.0000
PF02038,645.7238
PF02041,3145.0000
PF02042,1934.5575
PF02044,544.1525
PF02055,3145.0000
PF02057,3145.0000
PF02058,544.1525
PF02059,132.0287
PF02060,810.2778
PF02063,1934.5575
PF02065,3145.0000
PF02067,272.0000
PF02068,481.7717
PF02070,544.1525
